,나이,성별,직장,수면어려움정도,워치유저,워치착용슬립,어플사용유무,어플명,어플사용이유,잠필요시기,해결법,잠필요시기1,해결법1,어플-슬립사이클,어플-필로우,어플-오토슬립,어플-슬립지,어플-슬립워치,어플-스노어랩,어플-슬립모니터,어플-SaA,어플-삼성,어플-워치,어플-애플,어플-샤오미,어플-calm,어플-Asmr,어플-유튜브,어플-기타,연령대,이유-알람,이유-수면 모니터링,이유-수면 분석 리포트,이유-수면 유도,"이유-코골이, 이갈이 등 녹음"
12,26,여성,직장인,6,1,0,1,필로우,"알람, 수면 모니터링, 수면 분석 리포트",평일,핸드폰으로 가끔 노래 듣거나 파도 소라 듣기,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,1,1,1,0,0
13,29,여성,직장인,10,0,0,1,Snoreclock,"수면 모니터링, 코골이, 이갈이 등 녹음",일하는 평일,그냥 눈감고있는다,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20대,0,1,0,0,1
14,27,남성,취준생,9,1,1,0,NO,NO,,,수면 패턴이 깨졌을 때,잠을 자지 않는다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
15,29,여성,직장인,9,1,0,0,NO,NO,,,평일,눈 감고 오디오북/asmr 듣기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
16,30,여성,직장인,7,0,0,0,NO,NO,,,자기전,눈감고있기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30대,0,0,0,0,0
17,26,남성,취준생,10,0,0,0,NO,NO,,,그냥 평소 전부 다,유튜브를 틀어놓고 보다가 스스륵 잠들길 기도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
18,26,여성,직장인,8,0,0,0,NO,NO,,,시험기간,ASMR틀어놓는다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
19,26,남성,학생,8,1,1,1,슬립사이클,"알람, 수면 모니터링",매일,이완명상을 한다,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,1,1,0,0,0
20,29,여성,학생,9,0,0,1,슬립사이클,"알람, 수면 모니터링, 수면 분석 리포트, 수면 유도",항상,강아지들 데리고 자요,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,1,1,1,1,0
21,27,남성,취준생,8,1,0,0,NO,NO,,,매일 밤,유튜브 장시간 틀어두고 잠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
22,33,남성,직장인,8,1,0,0,NO,NO,,,출근전날,무조건 눈감고있기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30대,0,0,0,0,0
23,27,남성,취준생,9,1,1,1,슬립사이클,"수면 모니터링, 수면 유도",면접전날,클래식 청취,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,1,0,1,0
24,15,남성,학생,9,0,0,0,NO,NO,,,시험기간,잘때까지 스마트폰을 붙잡고 있는다 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10대,0,0,0,0,0
25,22,남성,직장인,1,1,0,0,NO,NO,,,잘시간,숫자를세곤하죠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
26,25,남성,직장인,10,1,1,1,슬립사이클,"수면 모니터링, 수면 분석 리포트",퇴근,유도음악,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,1,1,0,0
27,22,남성,학생,8,0,0,0,NO,NO,,,중요한 일이 있을때,낮잠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
28,24,여성,직장인,8,1,1,0,NO,NO,,,피곤할때,누워서 잔잔한 영상보기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
29,22,남성,직장인,2,0,0,1,예전에 스마트워치,수면 모니터링,피곤할 때 (잠을 잘 못 잔 이후),누워서 최대한 잠을 청하려 노력하는 편,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20대,0,1,0,0,0
30,31,남성,직장인,7,1,0,1,오토슬립,수면 분석 리포트,중요한 미팅이나 약속이 있을때 (안자면 얼굴에 티가나서),"카페인 줄이기, 낮잠안자기",,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30대,0,0,1,0,0
31,36,남성,직장인,7,1,1,1,슬립사이클,수면 모니터링,항상,뒤척거리거나 베게를 바꿔보거나 침대를 옆으로 누워보거나 이불을 바꿔본다,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30대,0,1,0,0,0
32,28,여성,직장인,9,1,1,1,슬립사이클,"알람, 수면 모니터링, 수면 분석 리포트, 수면 유도, 코골이, 이갈이 등 녹음",매일,하루를 제일 지치게 보낸다. ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,1,1,1,1,1
33,26,여성,직장인,10,0,0,0,NO,NO,,,"자격증 준비 기간, 출근 전 취침",맥주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
34,30,남성,직장인,8,1,0,1,자연소리 재생어플,수면 유도,다음날 새벽에 출근하는날,"명상음악이나 자연소리믹싱어플, 백색소음 등등",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30대,0,0,0,1,0
35,33,여성,직장인,7,1,1,1,슬립사이클,"알람, 수면 모니터링, 코골이, 이갈이 등 녹음",늘,바디스캔명상,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30대,1,1,0,0,1
36,29,남성,직장인,3,1,1,1,오토슬립,"수면 모니터링, 수면 분석 리포트",일요일 밤,술을 마십니다,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,1,1,0,0
37,25,남성,학생,5,0,0,1,슬립사이클,"알람, 수면 모니터링, 수면 분석 리포트","다음 날 일찍 일어나야하는 날, 오전 9시 수업이 있기 하루 전 날",그냥 침대에 누워있음,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,1,1,1,0,0
38,32,남성,직장인,7,1,1,1,슬립사이클,"알람, 수면 모니터링, 코골이, 이갈이 등 녹음",항상 필요해요... 코골이와 이갈이가 심해서 그런지 매일이 자도자도 피곤해요,잠이 잘 드는 나만의 자세를 합니다. 엎드려서 왼팔에 얼굴을 묻는 자세에요 ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30대,1,1,0,0,1
39,31,여성,직장인,6,1,0,1,슬립사이클,"수면 모니터링, 수면 분석 리포트",매일,아이마사지기를 하거나 온열안대를 차고잔다,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30대,0,1,1,0,0
40,24,남성,직장인,1,0,0,0,NO,NO,,,일찍 어딘가 가야할때 ex)여행,못잔적없음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
41,22,여성,학생,8,0,0,1,슬립사이클,수면 분석 리포트,시험기간,눈을 감고 있는다,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,1,0,0
42,35,여성,직장인,8,1,1,1,슬립사이클,"수면 모니터링, 수면 분석 리포트",매일,수면유도제 향초 음악 ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30대,0,1,1,0,0
43,28,남성,직장인,8,1,1,1,슬립사이클,"알람, 수면 모니터링, 수면 분석 리포트",평소 / 업무량이 매우 많기 때문,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,1,1,1,0,0
44,33,남성,직장인,10,0,0,0,NO,NO,,,평일,술마시기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30대,0,0,0,0,0
45,29,남성,시험 준비생,8,0,0,0,NO,NO,,,시헌기간,억지로 잘려고노력한다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
46,20,남성,학생,8,1,1,1,슬립사이클,수면 모니터링,시험기간,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,1,0,0,0
47,32,남성,직장인,9,1,0,0,NO,NO,,,더 일찍 일어나야하는 상황,일찍 자려고 하거나 수면안대를 사용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30대,0,0,0,0,0
48,29,여성,직장인,7,0,0,0,NO,NO,,,중요회의 전날,모닥불 ASMR ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
49,30,남성,직장인,7,0,0,0,NO,NO,,,일요일,노래들으면서잠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30대,0,0,0,0,0
50,27,여성,직장인,5,1,0,1,오토슬립,수면 모니터링,"일이 몰린 날, 전날에 효율적으로 잠을 자지 못한 날, 심적으로 불안할 때","3/7/8 호흡법, 안 될 때에는 아예 잠을 포기함.",,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,1,0,0,0
51,29,남성,취준생,10,1,1,1,슬립사이클,"수면 모니터링, 수면 분석 리포트",매일,뒤척임,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,1,1,0,0
52,27,남성,학생,6,0,0,0,NO,NO,,,"바쁜 일정을 소화할때 (컨퍼런스, 대회, 시험기간, 강의 내용 준비)",잠이들때 까지 깨어 있는다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
53,27,남성,직장인,7,0,0,0,NO,NO,,,이직 준비기간,회사 점심시간에 쪽잠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
54,23,여성,학생,8,1,1,0,NO,NO,,,출근 전날,잠이 올때까지 기다렸다가 잠을 잔다. 일어나는 시간은 동일하개,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
55,24,여성,직장인,8,1,1,1,슬립사이클,"알람, 수면 모니터링, 수면 분석 리포트, 수면 유도, 코골이, 이갈이 등 녹음","학기 초, 학기 말 행정 업무가 쏟아질 때",포기하고 수면 후 다음 날 후회한다,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,1,1,1,1,1
56,27,남성,직장인,7,0,0,0,NO,NO,,,"평소 잠이 드는데 시간이 오래 걸려요. 바이오리듬에 맞는 수면 패턴이 있다고 하는데, 닥터도지가 솔루션이 되길 바랍니다!",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
57,25,여성,직장인,5,0,0,1,슬립사이클,수면 모니터링,금,항상 피곤해서 잘 수 잇음,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,1,0,0,0
58,21,여성,학생,9,1,1,0,NO,NO,,,몸은 피곤한데 잠이 안오는 순간,몸이 더 피곤해질때까지 유튜브를 틀어놓다가 한계일때 끄고 자거나 틀어놓고 보다가 잠든다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
59,26,남성,학생,9,0,0,1,슬립사이클,"알람, 수면 모니터링, 수면 분석 리포트, 수면 유도",매 순간,오디오북 등 재생하면서 수면,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,1,1,1,1,0
60,21,여성,시험 준비생,10,0,0,0,NO,NO,,,"시험기간, 알바 때",피곤하면 에너지드링크 섭취,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
61,27,남성,직장인,7,0,0,0,NO,NO,,,여행 전 날.,기상.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
62,23,여성,학생,6,0,0,0,NO,NO,,,시험 기간,"Asmr 듣기, 잠 포기하기",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
63,21,남성,학생,8,1,1,0,NO,NO,,,시험기간,밤샘을해서 수면패턴을 맞춘다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
64,25,여성,직장인,8,0,0,0,NO,NO,,,평일,그냥 침대에 계속 누워있습니다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
65,29,여성,직장인,8,1,0,0,NO,NO,,,항상,Asmr틀어놓기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
66,23,여성,취준생,9,1,0,1,sleep,"알람, 수면 모니터링",시험기간,그냥 누워있는다,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,1,1,0,0,0
67,20,여성,학생,10,0,0,1,sleep as android,"수면 모니터링, 수면 분석 리포트","등교 기간, 시험 기간","정신과에서 불면증 약을 받아 먹고 있다
마그네슘, 레시틴, 엽산 등을 챙겨먹고 있다
잠이 올 때까지 다른 것을 한다
수면유도제를 먹는다
술을 먹는다
",,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20대,0,1,1,0,0
68,23,여성,취준생,10,0,0,0,NO,NO,,,매일,유튜브 틀어둠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
69,36,남성,프리랜서,4,1,0,1,Do i snore and grind,"코골이, 이갈이 등 녹음",프레젠테이션 전날,따뜻한 물을 마시고 모든걸 셧다운 한다는 느낌으로 잠을 청함,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30대,0,0,0,0,1
70,28,여성,학생,8,0,0,0,NO,NO,,,오전에 일정이 있을 때,잠이 올 때까지 불 끄고 누워있거나 휴대폰을 함,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
71,25,여성,취준생,8,0,0,0,NO,NO,,,회사 서류제출할 때,유튜브에서 Asmr듣기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
72,27,여성,취준생,8,0,0,0,NO,NO,,,시험기간,음악 감상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
73,22,여성,학생,5,0,0,0,NO,NO,,,시험 기간,눈을 감고 최대한 자려고 노력한다 ..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
74,21,여성,학생,10,0,0,0,NO,NO,,,알바전날,Asmr을 듣는다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
75,26,여성,취준생,3,0,0,1,슬립사이클,"알람, 수면 분석 리포트",밤을 샌날이나 많이 걸은날,최대한 방을 어둡게한다,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,1,0,1,0,0
76,22,남성,학생,10,1,0,0,NO,NO,,,시험기간,운동 등 몸을 최대한 피곤하게 만들어요!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
77,26,여성,직장인,3,0,0,0,NO,NO,,,매일,유투브에서 asmr듣기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
78,25,여성,학생,8,1,0,0,NO,NO,,,매일,Asmr 듣기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
79,24,남성,학생,4,1,0,0,NO,NO,,,낮잠,유튜브 백색소음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
80,25,여성,취준생,3,0,0,0,NO,NO,,,시험기간,잠이 올때까지 기다린다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
81,24,여성,학생,7,0,0,1,필로우,수면 모니터링,과제로 인해 며칠간 못 자서 이러다 죽는 게 아닐까 싶을 때,해결을 못한다..ㅠ 못 자고 몸이 쇠약하면 가위 눌리고 또 스트레스 받아서 못 자고의 연속,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,1,0,0,0
82,25,남성,직장인,1,1,0,0,NO,NO,,,밤,수면유도 음악 틀고 자기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
83,29,남성,직장인,6,0,0,0,NO,NO,,,바쁜 일정 속에 낮잠이나 밤에 잘때,유투브 수면 음악,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
84,52,남성,직장인,6,0,0,0,NO,NO,,,밤,기다림 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50대,0,0,0,0,0
85,23,남성,학생,8,0,0,0,NO,NO,,,"중요한 일이 있기 전날이나, 체력적으로 힘든 시기.",따뜻한 물로 씻고 나와서 유튜브로 음악을 듣습니다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
86,53,남성,직장인,2,0,0,0,NO,NO,,,매일,자세를 바꿈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50대,0,0,0,0,0
87,24,남성,취준생,7,1,1,0,NO,NO,,,평소,낮잠을 잠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
88,52,여성,직장인,5,0,0,0,NO,NO,,,퇴근후,인터넷 써핑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50대,0,0,0,0,0
89,54,남성,프리랜서,2,0,0,0,NO,NO,,,밤,유투브 수면음악,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50대,0,0,0,0,0
90,51,여성,직장인,8,0,0,1,슬립사이클,알람,피곤할때,술한잔,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50대,1,0,0,0,0
91,52,여성,프리랜서,9,0,0,0,NO,NO,,,피곤할때,음악을 듣는다.간단한 스트래칭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50대,0,0,0,0,0
92,53,남성,프리랜서,6,0,0,0,NO,NO,,,매일,강압적으로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50대,0,0,0,0,0
93,36,여성,직장인,5,0,0,0,NO,NO,,,매일,유튜브 영상에서 수면 유도 영상을 틀어요(요즘은 거의 매일),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30대,0,0,0,0,0
94,54,남성,직장인,2,0,0,0,NO,NO,,,토요일저녁 ,조용한 티비시청,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50대,0,0,0,0,0
95,24,여성,취준생,1,0,0,0,NO,NO,,,다음 날 중요한 시험이나 면접이 있을 때,유튜브에서 조용한 음악 리스트를 찾아 듣는 편,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
96,53,남성,프리랜서,9,0,0,0,NO,NO,,,프로젝트진행기간중,맥주2캔마시기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50대,0,0,0,0,0
97,44,여성,직장인,6,1,0,0,NO,NO,,,새벽,계속 눈 감고 있는다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40대,0,0,0,0,0
98,50,남성,직장인,9,0,0,0,NO,NO,,,새벽기상,명상 호흡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50대,0,0,0,0,0
99,25,여성,학생,9,0,0,0,NO,NO,,,다음날 일찍 나가야 할 때,"그냥 눈 감고 누워있거나 수면 안대, 릴렉싱 스프레이 등 사용",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
100,52,남성,프리랜서,1,0,0,0,NO,NO,,,저녁,그런일은 없슴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50대,0,0,0,0,0
101,26,남성,직장인,4,0,0,1,슬립사이클,"알람, 수면 모니터링, 수면 분석 리포트",항상,유튜브를 본다,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,1,1,1,0,0
102,50,남성,직장인,6,1,0,0,NO,NO,,,육체피로,쪽잠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50대,0,0,0,0,0
103,55,남성,프리랜서,2,0,0,0,NO,NO,,,졸릴때,그냥 이불 덮으면 잠이 옵니다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50대,0,0,0,0,0
104,28,남성,직장인,7,0,0,1,슬립사이클,"알람, 수면 모니터링",야근 후,비타민 섭취,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,1,1,0,0,0
105,56,여성,프리랜서,3,0,0,0,NO,NO,,,평소에,"그냥눈감고있는다
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50대,0,0,0,0,0
106,53,남성,프리랜서,8,0,0,1,수면유도음악  및 빗소리등,수면 유도,중요한 미팅을 앞두고 있을때,"이른 저녁식사, 운동, 수면유도 음악",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50대,0,0,0,1,0
107,24,여성,학생,8,1,1,0,NO,NO,,,수업 시간,유튜브 asmr 영상 시청,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
108,26,남성,학생,7,0,0,1,슬립사이클,"알람, 수면 모니터링",그냥 항상...,그래도 누워있거나 운동,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,1,1,0,0,0
109,25,남성,학생,10,0,0,0,NO,NO,,,시험기간,드라이기 asmr을 듣습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
110,22,남성,학생,7,0,0,1,기억 안남,수면 유도,알바 후 수면패턴 맞출때,수면유도제 복용,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20대,0,0,0,1,0
111,22,남성,직장인,1,0,0,0,NO,NO,,,다음날 근무설때,옆으로 누워서 잔다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
112,55,여성,프리랜서,6,0,0,0,NO,NO,,,매일편안한숙면을하고싶다,특별이 카페인음료 줄인다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50대,0,0,0,0,0
113,22,남성,직장인,10,0,0,0,NO,NO,,,항상,해결못해요ㅠ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
114,26,남성,학생,9,1,1,1,오토슬립,수면 모니터링,매일,넷플릭스 보고 잠,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,1,0,0,0
115,22,남성,학생,7,1,0,0,NO,NO,,,다음날 일찍일어나야할때,졸릴때까지 휴대폰을해요,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
116,53,남성,직장인,4,0,0,0,NO,NO,,,다음날 약속이 있을때,없음.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50대,0,0,0,0,0
117,27,여성,직장인,7,0,0,0,NO,NO,,,평일에 직장의 피로를 풀기 위해,수면유도 음악이 나오는 유튜브를 듣습니다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
118,26,남성,취준생,2,1,0,0,NO,NO,,,잠자는 시간,그냥 눈을 감는다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
119,22,남성,학생,5,0,0,0,NO,NO,,,밤,눈감고있기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
120,53,여성,프리랜서,5,0,0,0,NO,NO,,,스트레스 쌓일때,따뜻한  우유 마신다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50대,0,0,0,0,0
121,25,여성,학생,6,1,0,0,NO,NO,,,밤낮 바뀌었을 때,무작정 누워있음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
122,53,남성,프리랜서,3,0,0,1,슬립사이클,수면 유도,내일 일찍 출근 날,수면 어플 이용,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50대,0,0,0,1,0
123,23,남성,학생,3,0,0,0,NO,NO,,,다음날 아침 일찍 일이 있어서 자고 싶을 때 ,해결 못함 뜬눈으로 평소 자는 시간까지 시간 보냄.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
124,22,남성,학생,7,0,0,1,기억안나는데..써봤어요..,"수면 모니터링, 코골이, 이갈이 등 녹음","시험기간, 실습기간",밤새기,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20대,0,1,0,0,1
125,22,남성,학생,3,0,0,0,NO,NO,,,잘때,눈감고 대기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
